,사용월,호선명,지하철역,07시-08시 하차인원,08시-09시 하차인원,09시-10시 하차인원,17시-18시 승차인원,18시-19시 승차인원,19시-20시 승차인원,lat,lng
171,201812,06호선,고려대,11080,32938,15923,27896,26092,14438,37.590508,127.036296
172,201812,06호선,공덕,30798,101025,49204,48766,89336,40444,37.544018,126.951592
173,201812,06호선,광흥창,16913,40611,21007,23332,33092,16682,37.547456,126.931993
174,201812,06호선,구산,7465,7633,6246,12350,10971,6619,37.611377,126.91727
175,201812,06호선,녹사평,9328,16243,8852,16474,19118,13660,37.534675,126.986695
176,201812,06호선,대흥,13012,38801,20249,23484,28666,15140,37.547771,126.942069
177,201812,06호선,독바위,1725,2838,3642,3965,3487,2033,37.618456,126.933031
178,201812,06호선,돌곶이,5751,17702,11844,16205,15485,10765,37.610537,127.056431
179,201812,06호선,동묘앞,9903,27939,23716,31320,29078,15670,37.572627,127.016429
180,201812,06호선,디지털미디어시티,28358,75816,32392,32979,52926,24905,37.576646,126.900984
181,201812,06호선,마포구청,14264,37254,20220,28342,38474,20253,37.563515,126.903343
182,201812,06호선,망원,7806,31673,27673,30183,37508,25452,37.556094,126.910052
183,201812,06호선,버티고개,2445,5535,3733,5397,6686,4052,37.548013,127.007055
184,201812,06호선,보문,8338,20089,11111,15504,18467,10308,37.585286,127.019381
185,201812,06호선,봉화산,6940,12358,7718,15757,14299,7574,37.617283,127.091401
186,201812,06호선,불광,3488,7921,8188,14442,13500,9716,37.610469,126.929887
187,201812,06호선,삼각지,11453,25585,18904,21738,27052,13495,37.534777,126.97311
188,201812,06호선,상수,6335,26196,26555,26040,32373,24287,37.547716,126.922852
189,201812,06호선,상월곡,3607,15139,9298,11566,11620,6910,37.606377,127.048491
190,201812,06호선,새절,10241,17915,15100,23016,19311,12642,37.591148,126.913629
191,201812,06호선,석계,7852,14880,11205,21303,18999,13409,37.614805,127.065851
192,201812,06호선,신당,15453,45407,25232,25639,30694,18568,37.565972,127.01782
